Date,Open,High,Low,Close,Volume
"May 12, 2023",1253.35,1256,1239.05,1245.2,8.29M
"May 11, 2023",1270.25,1275.9,1253.05,1256.1,6.89M
"May 10, 2023",1276.4,1276.4,1259.15,1263.25,6.52M
"May 09, 2023",1266,1272,1260.7,1270.7,4.97M
"May 08, 2023",1262.45,1270.3,1255.2,1265.6,5.26M
"May 05, 2023",1279,1279,1254.25,1259.1,5.37M
"May 04, 2023",1268.95,1275.8,1262.5,1273.55,4.51M
"May 03, 2023",1266,1272.5,1262.1,1269.15,5.55M
"May 02, 2023",1254.55,1279.75,1254.55,1277.45,8.89M
"Apr 28, 2023",1255.7,1259,1244.95,1252.75,10.12M
"Apr 27, 2023",1230,1247.8,1225.4,1246.25,8.02M
"Apr 26, 2023",1228,1233,1220.55,1227.55,5.68M
"Apr 25, 2023",1225.95,1235.5,1215,1224.9,6.81M
"Apr 24, 2023",1228,1230,1218,1226.3,8.31M
"Apr 21, 2023",1228.1,1233.25,1220,1227.35,8.69M
"Apr 20, 2023",1230.7,1237.85,1221.4,1223.4,8.62M
"Apr 19, 2023",1254.35,1254.35,1229.4,1232.2,11.31M
"Apr 18, 2023",1269.95,1269.95,1253.1,1259.35,12.43M
"Apr 17, 2023",1250.3,1261.15,1185.3,1258.3,53.17M
"Apr 13, 2023",1409.75,1411.05,1383,1389.2,11.27M
"Apr 12, 2023",1413.05,1431.5,1400,1428.3,5.83M
"Apr 11, 2023",1428.9,1433.35,1389,1406.15,6.94M
"Apr 10, 2023",1423.95,1434,1415,1427.6,4.99M
"Apr 06, 2023",1416,1428.4,1410.35,1421.9,6.95M
"Apr 05, 2023",1400,1427.5,1400,1423.55,7.51M
"Apr 03, 2023",1435,1435,1405.15,1410.85,5.24M
"Mar 31, 2023",1404,1429.95,1393.9,1427.95,8.71M
"Mar 29, 2023",1379,1389.9,1364.55,1383.55,8.81M
"Mar 28, 2023",1392.1,1398,1375.85,1377.6,6.63M
"Mar 27, 2023",1386.25,1395.75,1374.1,1388.95,4.17M
"Mar 24, 2023",1388,1398.95,1377.5,1380.65,7.56M
"Mar 23, 2023",1383.95,1383.95,1370,1374.55,7.61M
"Mar 22, 2023",1403,1407.25,1382.15,1389.25,8.36M
"Mar 21, 2023",1399,1405,1390,1390.7,8.54M
"Mar 20, 2023",1419.7,1419.7,1384.85,1403.65,8.22M
"Mar 17, 2023",1430,1442.9,1411.4,1420.7,9.09M
"Mar 16, 2023",1417.8,1417.8,1398.7,1404.1,7.32M
"Mar 15, 2023",1438,1442.85,1416.85,1419.65,7.56M
"Mar 14, 2023",1441,1448.35,1411,1420,7.40M
"Mar 13, 2023",1464.2,1478.3,1428,1435.1,8.80M
"Mar 10, 2023",1460,1474.3,1457.65,1471.55,3.70M
"Mar 09, 2023",1495,1498.35,1474.6,1480.4,5.10M
"Mar 08, 2023",1490.55,1496,1481.1,1492.7,4.14M
"Mar 06, 2023",1494.55,1520.4,1493.15,1507.45,6.56M
"Mar 03, 2023",1486.75,1489.8,1473,1479.3,4.62M
"Mar 02, 2023",1485,1488.6,1467.3,1472.15,4.64M
"Mar 01, 2023",1492.4,1500.85,1481.5,1496.05,5.13M
"Feb 28, 2023",1515.6,1524,1481.3,1487.55,9.68M
"Feb 27, 2023",1540,1540,1502,1509.3,4.92M
"Feb 24, 2023",1560,1569,1545,1550.65,2.79M
"Feb 23, 2023",1569.85,1569.85,1548.15,1550.7,4.77M
"Feb 22, 2023",1563,1575,1555.3,1561.8,3.66M
"Feb 21, 2023",1598.7,1601.65,1576,1579.5,2.72M
"Feb 20, 2023",1584.95,1603,1582.5,1592.45,2.42M
